Dates,Topic,Length,Cost,Outline,Category,Hover_Desc
"Jul 6-10, Sept 21-25, Nov 9-13",#10965: IT Service Management with System Center Service Manager 2016,5 days,"$2,795",classes/10965_Service_Manag_System_Center_Outline.pdf,MICROSOFT TRAINING,This course will provide students with the key knowledge required to deploy and configure System Center 2016 Service Manager.
"Aug 10-14, Oct 26-30, Dec 14-18",#20703-1: Administering System Cennter Configuration Manager,5 days,"$2,795",classes/20703_Administering_System_Center_Config_Manager.pdf,MICROSOFT TRAINING,"Students will learn day-to-day management tasks, including how to manage applications, client health, hardware and software inventory, operating system deployment, and software updtes by using Configuration Manager."
"Jul 27-31, Sept 28- Oct 2, Nov 16-20",Administering Team Foundation Server 2017,3 days,"$1,690",classes/Administering_Team_Foundation_Server.pdf,MICROSOFT TRAINING,"Provides students with the knowledge and skills to deply, configure, and manage Microsoft Team Foundation Server 2017 and related software components./"
"Oct 5-9, Nov 30- Dec 4",Application Life Cycle Management Using Visual Studio 2017,3 days,"$1,690",classes/ApplicationLifeCycleManagementUsingVisualStudio.pdf,MICROSOFT TRAINING,"Students will use the Application Liefecyle Management (ALM) tools found in Visual Studio and Team Foundation Server (or Visual Studio Team Services) to plan, track, design, develop, test, and deliver business value in the form of working software."
"Jul 13-17, Sept 28- Oct 2","#20740: Installation, Storage & Compute with Windows Server 2016",5 days,"$2,795",classes/20740Installation_Storage_Computer_WindowsServer.pdf,MICROSOFT TRAINING,"This course is for professionals who will be responsible for managing storage and compute by using Windows Server 2016, and who will need to understand the scenarios, requirements, and storage and compute options that are available and applicable to Windows Server 2016."
"Aug 31- Sept 4, Oct 19-23, Dec 14-18",#20741: Networking with Windows Server 2016,5 days,"$2,795",classes/20741Networking_Windows_Server.pdf,MICROSOFT TRAINING,"This course provides the fundamenal networking skills requires to deploy and support Windows Sewrver 2016 in most organizations. It covers IP fundamentals, remote access technologies, and more advanced content including Software Defined Networking."
"Aug 31- Sept 4, Oct 19-23, Dec 14-18",#20744: Securing Windows Server 2016,5 days,"$2,795",classes/20744_Securing_Windows_Server.pdf,MICROSOFT TRAINING,"This course begins by emphasizing the importance of assuming that network breaches have occurred already, and then teaches you how to protect administrative credentails and rights to ensure that administrators can perform only the tasks that they need to, when they need to."
"Aug 31- Sept 4, Oct 19-23, Dec 14-18",#10982: Supporting and Troubleshooting Windows 10,5 days,"$2,795",classes/10982_Supporting_Troubleshooting_Windows10.pdf,MICROSOFT TRAINING,"Students acquire the knowledge required to successfully install and customize Windows 10 operating systems and apps, configure local and remote network connectivity and storage, configure security, and maintain, update, and recover Windows 10."
"Jul 13-17, Aug 31- Sept 4, Nov 2-6",#20698: Installing and Configuring Windows 10,5 days,"$2,795",classes/20698_Installing_Configuring_Windows.pdf,MICROSOFT TRAINING,This course provides IT professionals with the knowledge and skills required to install and configure Windows 10 desktops in a Windows Server small to medium-sized AD DS domain environment.
"Jul 27-31, Sept 28- Oct 2, Nov 2-6",#10975: Introduction to Programming Microsoft Visual Studio,5 days,"$2,795",classes/10975_Intro_Programming_Visual_Studio.pdf,MICROSOFT TRAINING,In this course students will learn the basics of computer programming through the use of Microsoft Visual Studio 2013 and either C# or Visual Basic programming languages.
